SessionType,Schedule,timepoint,AnimalID,CellID,numEvents,numAnalyzedEvents,zScorePre,zScorePost,DPrimeSig,DPrimeCategory,zScoreOverall_ 1,zScoreOverall_ 2,zScoreOverall_ 3,zScoreOverall_ 4,zScoreOverall_ 5,zScoreOverall_ 6,zScoreOverall_ 7,zScoreOverall_ 8,zScoreOverall_ 9,zScoreOverall_10,zScoreOverall_11,zScoreOverall_12,zScoreOverall_13,zScoreOverall_14,zScoreOverall_15,zScoreOverall_16,zScoreOverall_17,zScoreOverall_18,zScoreOverall_19,zScoreOverall_20,zScoreOverall_21,zScoreOverall_22,zScoreOverall_23,zScoreOverall_24,zScoreOverall_25,zScoreOverall_26,zScoreOverall_27,zScoreOverall_28,zScoreOverall_29,zScoreOverall_30,zScoreOverall_31,zScoreOverall_32,zScoreOverall_33,zScoreOverall_34,zScoreOverall_35,zScoreOverall_36,zScoreOverall_37,zScoreOverall_38,zScoreOverall_39,zScoreOverall_40,zScoreOverall_41,zScoreOverall_42,zScoreOverall_43,zScoreOverall_44,zScoreOverall_45,zScoreOverall_46,zScoreOverall_47,zScoreOverall_48,zScoreOverall_49,zScoreOverall_50,zScoreOverall_51,zScoreOverall_52,zScoreOverall_53,zScoreOverall_54,zScoreOverall_55,zScoreOverall_56,zScoreOverall_57,zScoreOverall_58,zScoreOverall_59,zScoreOverall_60,zScoreOverall_61
RRRI,LL,04,M13,1,3,2,0.049468856803566,-0.224858440016207,0,nochange,1.87765003925943,1.326993056592,0.886467470458056,0.225679091257143,-0.765503477544227,-0.765503477544227,-1.42629185674514,-0.104715098343314,0.225679091257143,0.886467470458057,1.21686166005851,1.54725584965897,0.5560732808576,0.5560732808576,-0.104715098343314,-0.43510928794377,-0.765503477544227,-1.09589766714468,-1.42629185674514,-0.765503477544227,-0.765503477544227,-0.765503477544227,-0.43510928794377,-0.43510928794377,-1.09589766714468,-1.09589766714468,-0.765503477544227,-1.09589766714468,-1.09589766714468,-0.43510928794377,-0.43510928794377,-0.104715098343314,0.225679091257143,0.225679091257143,0.886467470458056,1.21686166005851,0.886467470458056,0.5560732808576,1.21686166005851,1.54725584965897,1.87765003925943,2.20804422885988,2.20804422885988,1.87765003925943,0.886467470458057,0.225679091257143,-0.43510928794377,-0.104715098343314,-0.104715098343314,-0.43510928794377,-0.104715098343314,-0.104715098343314,-0.43510928794377,-0.43510928794377,-0.765503477544227,-0.765503477544227,-0.765503477544227,-0.765503477544227,-1.09589766714468,-1.42629185674514,-1.42629185674514
RRRI,LL,04,M13,2,3,2,-0.161252429756735,0.732965589803342,1,increase,-1.84365079459584,1.7900389782748,0.336563069126544,0.336563069126544,-0.75354386273465,-1.84365079459584,-1.84365079459584,-1.84365079459584,-0.208490396804053,-0.208490396804053,0.336563069126544,0.881616535057141,0.881616535057141,0.881616535057141,0.881616535057141,0.336563069126544,0.336563069126544,0.336563069126544,-1.29859732866525,-0.75354386273465,-0.208490396804053,-0.208490396804053,-0.208490396804053,-0.208490396804053,-0.208490396804053,-0.208490396804053,-0.75354386273465,0.336563069126544,0.881616535057141,0.881616535057141,0.881616535057141,1.42667000098774,1.42667000098774,0.881616535057141,0.881616535057141,1.42667000098774,1.42667000098774,0.336563069126544,0.881616535057141,0.881616535057141,-0.208490396804053,-0.75354386273465,-0.75354386273465,-1.29859732866525,-1.84365079459584,-1.84365079459584,-1.29859732866525,-1.29859732866525,-0.75354386273465,-0.208490396804053,0.881616535057141,0.336563069126544,0.881616535057141,0.336563069126544,-0.208490396804053,-1.29859732866525,-0.75354386273465,-0.208490396804053,0.336563069126544,1.7900389782748,0.881616535057141
RRRI,LL,04,M13,3,3,2,-0.103872767819453,0.472148944633877,0,nochange,-1.10380260807349,-1.10380260807349,-1.10380260807349,-0.35008664808301,-0.35008664808301,-0.35008664808301,-0.35008664808301,-0.35008664808301,-1.10380260807349,-0.72694462807825,-0.72694462807825,-0.72694462807825,-0.72694462807825,-0.35008664808301,0.40362931190747,0.40362931190747,1.53420325189319,1.53420325189319,1.15734527189795,0.0267713319122303,0.0267713319122303,-1.10380260807349,-1.10380260807349,-1.10380260807349,-0.35008664808301,-0.35008664808301,-0.35008664808301,0.0267713319122303,0.78048729190271,0.0267713319122303,0.0267713319122303,0.40362931190747,0.40362931190747,0.78048729190271,1.15734527189795,2.28791921188367,2.66477719187891,2.28791921188367,1.15734527189795,0.78048729190271,-0.35008664808301,-1.10380260807349,-1.10380260807349,-1.10380260807349,-1.10380260807349,-1.10380260807349,-1.10380260807349,-1.10380260807349,-1.10380260807349,-0.35008664808301,0.0267713319122303,0.40362931190747,0.78048729190271,1.53420325189319,1.53420325189319,1.15734527189795,0.78048729190271,0.78048729190271,0.0267713319122303,-0.47570597474809,-1.10380260807349
RRRI,LL,04,M13,4,3,2,0.103029805086483,-0.468317295847642,0,nochange,1.60126817812426,-0.344495942704024,-0.733648766869682,-1.31737800311817,-1.31737800311817,-1.31737800311817,-0.149919530621195,-0.149919530621195,-0.149919530621195,-0.149919530621195,-0.149919530621195,-0.733648766869682,-0.149919530621195,-0.149919530621195,0.433809705627292,1.01753894187578,0.433809705627292,1.01753894187578,1.01753894187578,1.01753894187578,1.60126817812426,1.60126817812426,0.433809705627292,0.433809705627292,-0.149919530621195,-1.31737800311817,-1.31737800311817,-1.31737800311817,-0.733648766869682,-0.733648766869682,-0.733648766869682,-0.733648766869682,-0.149919530621195,-0.149919530621195,1.01753894187578,1.01753894187578,1.01753894187578,1.01753894187578,1.01753894187578,-0.149919530621195,-0.149919530621195,-0.149919530621195,-0.733648766869682,-0.733648766869682,-0.733648766869682,-0.733648766869682,-0.149919530621195,-0.149919530621195,-0.733648766869682,-0.149919530621195,-0.149919530621195,-0.733648766869682,-0.733648766869682,-0.149919530621195,-0.733648766869682,-0.733648766869682,-0.149919530621195,-0.149919530621195,0.433809705627292,1.60126817812426,4.5199143593667
RRRI,LL,04,M13,5,3,2,0.140691585709987,-0.639507207772667,1,decrease,5.51039009006497,1.62252398223658,0.511705094285611,-0.821277571255552,-0.488031904870262,-0.821277571255552,-0.821277571255552,-0.821277571255552,-0.821277571255552,-0.821277571255552,-0.821277571255552,-0.821277571255552,-0.488031904870262,-0.154786238484971,-0.154786238484971,-0.154786238484971,-0.154786238484971,-0.154786238484971,-0.488031904870262,-0.821277571255552,-0.154786238484971,-0.154786238484971,-0.488031904870262,-0.154786238484971,-0.154786238484971,-0.488031904870262,-0.488031904870262,-0.488031904870262,-0.821277571255552,-0.821277571255552,-1.15452323764084,-1.15452323764084,-0.821277571255552,-0.488031904870262,-0.488031904870262,0.17845942790032,0.844950760670902,0.511705094285611,0.511705094285611,1.51144209344148,1.17819642705619,1.17819642705619,1.51144209344148,1.17819642705619,0.17845942790032,0.17845942790032,-0.154786238484971,-0.488031904870262,-0.488031904870262,-0.154786238484971,0.17845942790032,0.511705094285611,0.844950760670901,0.844950760670901,0.511705094285611,-0.154786238484971,-0.488031904870262,-0.488031904870262,-0.154786238484971,0.511705094285611,0.511705094285611
RRRI,LL,04,M13,6,3,2,-0.059264592966618,0.269384513484626,0,nochange,-0.657257703953093,2.74043042665188,1.38135517440989,1.38135517440989,1.38135517440989,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,1.38135517440989,1.38135517440989,1.38135517440989,1.38135517440989,1.38135517440989,-0.657257703953093,-0.657257703953093,1.38135517440989,1.38135517440989,1.38135517440989,1.38135517440989,1.38135517440989,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,1.38135517440989,1.38135517440989,1.38135517440989,1.38135517440989,1.38135517440989,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093,-0.657257703953093
RRRI,LL,04,M13,7,3,2,0.0907722230040921,-0.412601013654965,0,nochange,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,2.94322056407208,2.94322056407208,2.94322056407208,2.94322056407208,2.94322056407208,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,-0.412601013654965,1.26530977520856,1.26530977520856,1.26530977520856,1.26530977520856,1.26530977520856,-0.412601013654965,-0.412601013654965,-0.412601013654965
RRRI,LL,04,M13,8,3,2,0.0961568830896876,-0.437076741316761,1,decrease,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,0.629390507496137,1.69585775630903,1.69585775630903,1.69585775630903,1.69585775630903,0.629390507496137,2.76232500512193,2.76232500512193,2.76232500512193,2.76232500512193,2.76232500512193,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761,-0.437076741316761
RRRI,LL,04,M13,9,3,2,0.150213786019141,-0.68278993645064,1,decrease,-0.682789936450641,-0.682789936450641,-0.233327496269104,1.56452226445704,1.56452226445704,1.56452226445704,1.11505982427551,1.11505982427551,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.233327496269104,-0.233327496269104,-0.233327496269104,-0.233327496269104,-0.233327496269104,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.682789936450641,-0.233327496269104,-0.233327496269104,1.11505982427551,1.56452226445704,1.56452226445704,1.11505982427551,2.01398470463858,0.66559738409397,1.56452226445704,2.46344714482012,2.46344714482012,1.56452226445704,2.01398470463858,0.66559738409397,0.0663141305185874,-0.682789936450641
RRRI,LL,04,M13,10,3,2,-0.179602272835372,0.816373967433512,1,increase,-0.891013873027432,0.531809327356688,0.816373967433512,0.816373967433512,0.816373967433512,-0.0373199527969601,-0.891013873027432,-0.891013873027432,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.891013873027432,0.816373967433512,1.67006788766398,2.52376180789445,3.37745572812493,3.37745572812493,1.67006788766398,0.816373967433512,-0.0373199527969601,-0.0373199527969601,0.816373967433512,0.816373967433512,0.816373967433512,0.816373967433512,-0.0373199527969601,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,0.816373967433512,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.0373199527969601,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.891013873027432,-0.891013873027432
